Time,V1,V2,V3
0,0.983530617,1.020657848,1.007357141
1,0.983516184,1.020650631,1.007353533
2,0.983516184,1.020650631,1.007353533
3,0.983516184,1.020650631,1.007353533
4,0.983516184,1.020650631,1.007353533
5,0.983516184,1.020650631,1.007353533
6,0.983516184,1.020650631,1.007353533
7,0.983516184,1.020650631,1.007353533
8,0.983516184,1.020650631,1.007353533
9,0.983516184,1.020650631,1.007353533
10,0.983516184,1.020650631,1.007353533
11,0.983516184,1.020650631,1.007353533
12,0.983516184,1.020650631,1.007353533
13,0.983516184,1.020650631,1.007353533
14,0.983516184,1.020650631,1.007353533
15,0.983516184,1.020650631,1.007353533
16,0.983516184,1.020650631,1.007353533
17,0.983516184,1.020650631,1.007353533
18,0.983516184,1.020650631,1.007353533
19,0.983516184,1.020650631,1.007353533
20,0.983516184,1.020650631,1.007353533
21,0.983516184,1.020650631,1.007353533
22,0.983516184,1.020650631,1.007353533
23,0.983516184,1.020650631,1.007353533
24,0.983516184,1.020650631,1.007353533
25,0.983516184,1.020650631,1.007353533
26,0.983516184,1.020650631,1.007353533
27,0.983516184,1.020650631,1.007353533
28,0.983516184,1.020650631,1.007353533
29,0.983516184,1.020650631,1.007353533
30,0.991783118,1.025688012,1.013040433
31,0.991786726,1.025688012,1.013040433
32,0.991786726,1.025691621,1.013040433
33,0.991786726,1.025691621,1.013040433
34,0.991786726,1.025691621,1.013040433
35,0.991786726,1.025691621,1.013040433
36,0.991786726,1.025691621,1.013040433
37,0.991786726,1.025691621,1.013040433
38,0.991786726,1.025691621,1.013040433
39,0.991786726,1.025691621,1.013040433
40,0.991786726,1.025691621,1.013040433
41,0.991786726,1.025691621,1.013040433
42,0.991786726,1.025691621,1.013040433
43,0.991786726,1.025691621,1.013040433
44,0.991786726,1.025691621,1.013040433
45,0.991786726,1.025691621,1.013040433
46,0.991786726,1.025691621,1.013040433
47,0.991786726,1.025691621,1.013040433
48,0.991786726,1.025691621,1.013040433
49,0.991786726,1.025691621,1.013040433
50,0.991786726,1.025691621,1.013040433
51,0.991786726,1.025691621,1.013040433
52,0.991786726,1.025691621,1.013040433
53,0.991786726,1.025691621,1.013040433
54,0.991786726,1.025691621,1.013040433
55,0.991786726,1.025691621,1.013040433
56,0.991786726,1.025691621,1.013040433
57,0.991786726,1.025691621,1.013040433
58,0.991786726,1.025691621,1.013040433
59,0.991786726,1.025691621,1.013040433
60,0.991786726,1.025691621,1.013040433
61,0.991786726,1.025691621,1.013040433
62,0.991786726,1.025691621,1.013040433
63,0.991786726,1.025691621,1.013040433
64,0.991786726,1.025691621,1.013040433
65,0.991786726,1.025691621,1.013040433
66,0.991786726,1.025691621,1.013040433
67,0.991786726,1.025691621,1.013040433
68,0.991786726,1.025691621,1.013040433
69,0.991786726,1.025691621,1.013040433
70,0.991786726,1.025691621,1.013040433
71,0.991786726,1.025691621,1.013040433
72,0.991786726,1.025691621,1.013040433
73,0.991786726,1.025691621,1.013040433
74,0.991786726,1.025691621,1.013040433
75,0.991786726,1.025691621,1.013040433
76,0.991786726,1.025691621,1.013040433
77,0.991786726,1.025691621,1.013040433
78,0.991786726,1.025691621,1.013040433
79,0.991786726,1.025691621,1.013040433
80,0.991786726,1.025691621,1.013040433
81,0.991786726,1.025691621,1.013040433
82,0.991786726,1.025691621,1.013040433
83,0.991786726,1.025691621,1.013040433
84,0.991786726,1.025691621,1.013040433
85,0.991786726,1.025691621,1.013040433
86,0.991786726,1.025691621,1.013040433
87,0.991786726,1.025691621,1.013040433
88,0.991786726,1.025691621,1.013040433
89,0.995871479,1.028192269,1.015851407
90,0.995875088,1.028192269,1.015851407
91,0.995875088,1.028192269,1.015851407
92,0.995875088,1.028192269,1.015851407
93,0.995875088,1.028192269,1.015851407
94,0.995875088,1.028192269,1.015851407
95,0.995875088,1.028192269,1.015851407
96,0.995875088,1.028192269,1.015851407
97,0.995875088,1.028192269,1.015851407
98,0.995875088,1.028192269,1.015851407
99,0.995875088,1.028192269,1.015851407
100,0.995875088,1.028192269,1.015851407
101,0.995875088,1.028192269,1.015851407
102,0.995875088,1.028192269,1.015851407
103,0.995875088,1.028192269,1.015851407
104,0.995875088,1.028192269,1.015851407
105,0.995875088,1.028192269,1.015851407
106,0.995875088,1.028192269,1.015851407
107,0.995875088,1.028192269,1.015851407
108,0.995875088,1.028192269,1.015851407
109,0.995875088,1.028192269,1.015851407
110,0.995875088,1.028192269,1.015851407
111,0.995875088,1.028192269,1.015851407
112,0.995875088,1.028192269,1.015851407
113,0.995875088,1.028192269,1.015851407
114,0.995875088,1.028192269,1.015851407
115,0.995875088,1.028192269,1.015851407
116,0.995875088,1.028192269,1.015851407
117,0.995875088,1.028192269,1.015851407
118,0.995875088,1.028192269,1.015851407
119,0.995875088,1.028192269,1.015851407
120,0.995875088,1.028192269,1.015851407
121,0.995875088,1.028192269,1.015851407
122,0.995875088,1.028192269,1.015851407
123,0.995875088,1.028192269,1.015851407
124,0.995875088,1.028192269,1.015851407
125,0.995875088,1.028192269,1.015851407
126,0.995875088,1.028192269,1.015851407
127,0.995875088,1.028192269,1.015851407
128,0.995875088,1.028192269,1.015851407
129,0.995875088,1.028192269,1.015851407
130,0.995875088,1.028192269,1.015851407
131,0.995875088,1.028192269,1.015851407
132,0.995875088,1.028192269,1.015851407
133,0.995875088,1.028192269,1.015851407
134,0.995875088,1.028192269,1.015851407
135,0.995875088,1.028192269,1.015851407
136,0.995875088,1.028192269,1.015851407
137,0.995875088,1.028192269,1.015851407
138,0.995875088,1.028192269,1.015851407
139,0.995875088,1.028192269,1.015851407
140,0.995875088,1.028192269,1.015851407
141,0.995875088,1.028192269,1.015851407
142,0.995875088,1.028192269,1.015851407
143,0.995875088,1.028192269,1.015851407
144,0.995875088,1.028192269,1.015851407
145,0.995875088,1.028192269,1.015851407
146,0.995875088,1.028192269,1.015851407
147,0.995875088,1.028192269,1.015851407
148,0.995875088,1.028192269,1.015851407
149,0.995875088,1.028192269,1.015851407
150,0.999934582,1.027456147,1.013321891
151,0.999927365,1.027452539,1.013321891
152,0.999927365,1.027452539,1.013321891
153,0.999927365,1.027452539,1.013321891
154,0.999927365,1.027452539,1.013321891
155,0.999927365,1.027452539,1.013321891
156,0.999927365,1.027452539,1.013321891
157,0.999927365,1.027452539,1.013321891
158,0.999927365,1.027452539,1.013321891
159,0.999927365,1.027452539,1.013321891
160,0.999927365,1.027452539,1.013321891
161,0.999927365,1.027452539,1.013321891
162,0.999927365,1.027452539,1.013321891
163,0.999927365,1.027452539,1.013321891
164,0.999927365,1.027452539,1.013321891
165,0.999927365,1.027452539,1.013321891
166,0.999927365,1.027452539,1.013321891
167,0.999927365,1.027452539,1.013321891
168,0.999927365,1.027452539,1.013321891
169,0.999927365,1.027452539,1.013321891
170,0.999927365,1.027452539,1.013321891
171,0.999927365,1.027452539,1.013321891
172,0.999927365,1.027452539,1.013321891
173,0.999927365,1.027452539,1.013321891
174,0.999927365,1.027452539,1.013321891
175,0.999927365,1.027452539,1.013321891
176,0.999927365,1.027452539,1.013321891
177,0.999927365,1.027452539,1.013321891
178,0.999927365,1.027452539,1.013321891
179,0.999927365,1.027452539,1.013321891
180,0.999927365,1.027452539,1.013321891
181,0.999927365,1.027452539,1.013321891
182,0.999927365,1.027452539,1.013321891
183,0.999927365,1.027452539,1.013321891
184,0.999927365,1.027452539,1.013321891
185,0.999927365,1.027452539,1.013321891
186,0.999927365,1.027452539,1.013321891
187,0.999927365,1.027452539,1.013321891
188,0.999927365,1.027452539,1.013321891
189,0.999927365,1.027452539,1.013321891
190,0.999927365,1.027452539,1.013321891
191,0.999927365,1.027452539,1.013321891
192,0.999927365,1.027452539,1.013321891
193,0.999927365,1.027452539,1.013321891
194,0.999927365,1.027452539,1.013321891
195,0.999927365,1.027452539,1.013321891
196,0.999927365,1.027452539,1.013321891
197,0.999927365,1.027452539,1.013321891
198,0.999927365,1.027452539,1.013321891
199,0.999927365,1.027452539,1.013321891
200,0.999927365,1.027452539,1.013321891
201,0.999927365,1.027452539,1.013321891
202,0.999927365,1.027452539,1.013321891
203,0.999927365,1.027452539,1.013321891
204,0.999927365,1.027452539,1.013321891
205,0.999927365,1.027452539,1.013321891
206,0.999927365,1.027452539,1.013321891
207,0.999927365,1.027452539,1.013321891
208,0.999927365,1.027452539,1.013321891
209,1.001269704,1.02828248,1.014234826
210,1.001273313,1.02828248,1.014234826
211,1.001273313,1.02828248,1.014234826
212,1.001273313,1.02828248,1.014234826
213,1.001273313,1.02828248,1.014234826
214,1.001273313,1.02828248,1.014234826
215,1.001273313,1.02828248,1.014234826
216,1.001273313,1.02828248,1.014234826
217,1.001273313,1.02828248,1.014234826
218,1.001273313,1.02828248,1.014234826
219,1.001273313,1.02828248,1.014234826
220,1.001273313,1.02828248,1.014234826
221,1.001273313,1.02828248,1.014234826
222,1.001273313,1.02828248,1.014234826
223,1.001273313,1.02828248,1.014234826
224,1.001273313,1.02828248,1.014234826
225,1.001273313,1.02828248,1.014234826
226,1.001273313,1.02828248,1.014234826
227,1.001273313,1.02828248,1.014234826
228,1.001273313,1.02828248,1.014234826
229,1.001273313,1.02828248,1.014234826
230,1.001273313,1.02828248,1.014234826
231,1.001273313,1.02828248,1.014234826
232,1.001273313,1.02828248,1.014234826
233,1.001273313,1.02828248,1.014234826
234,1.001273313,1.02828248,1.014234826
235,1.001273313,1.02828248,1.014234826
236,1.001273313,1.02828248,1.014234826
237,1.001273313,1.02828248,1.014234826
238,1.001273313,1.02828248,1.014234826
239,1.001273313,1.02828248,1.014234826
240,1.001273313,1.02828248,1.014234826
241,1.001273313,1.02828248,1.014234826
242,1.001273313,1.02828248,1.014234826
243,1.001273313,1.02828248,1.014234826
244,1.001273313,1.02828248,1.014234826
245,1.001273313,1.02828248,1.014234826
246,1.001273313,1.02828248,1.014234826
247,1.001273313,1.02828248,1.014234826
248,1.001273313,1.02828248,1.014234826
249,1.001273313,1.02828248,1.014234826
250,1.001273313,1.02828248,1.014234826
251,1.001273313,1.02828248,1.014234826
252,1.001273313,1.02828248,1.014234826
253,1.001273313,1.02828248,1.014234826
254,1.001273313,1.02828248,1.014234826
255,1.001273313,1.02828248,1.014234826
256,1.001273313,1.02828248,1.014234826
257,1.001273313,1.02828248,1.014234826
258,1.001273313,1.02828248,1.014234826
259,1.001273313,1.02828248,1.014234826
260,1.001273313,1.02828248,1.014234826
261,1.001273313,1.02828248,1.014234826
262,1.001273313,1.02828248,1.014234826
263,1.001273313,1.02828248,1.014234826
264,1.001273313,1.02828248,1.014234826
265,1.001273313,1.02828248,1.014234826
266,1.001273313,1.02828248,1.014234826
267,1.001273313,1.02828248,1.014234826
268,1.001273313,1.02828248,1.014234826
269,1.001273313,1.02828248,1.014234826
270,1.003950775,1.029935145,1.016057088
271,1.003957992,1.029935145,1.016057088
272,1.003957992,1.029935145,1.016057088
