hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 60.00000, 2638.7, -4.32783, 2772.39, -123.695, 2733.36, 113.562, 0, 0, 0, 0, 0, 0
0, 120.00000, 2638.66, -4.32828, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 180.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 240.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 300.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 360.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 420.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 480.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 540.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 600.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 660.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 720.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 780.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 840.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 900.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 960.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1020.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1080.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1140.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1200.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1260.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1320.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1380.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1440.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1500.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1560.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1620.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1680.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1740.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1800.00000, 2638.66, -4.32829, 2772.37, -123.695, 2733.34, 113.562, 0, 0, 0, 0, 0, 0
0, 1860.00000, 2667.41, -4.01745, 2790.06, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 1920.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 1980.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2040.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2100.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2160.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2220.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2280.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2340.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2400.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2460.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2520.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2580.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
0, 2640.00000, 2667.43, -4.01727, 2790.07, -123.465, 2753.03, 114.049, 0, 0, 0, 0, 0, 0
